Card Number,Print Total,Pokemon Number,Name,Type,Set Name,Normal Price,Reverse Holo Price,Holo Price
45,198,898,Ice Rider Calyrex V,Water,Chilling Reign,0,0,1.07,2022/06/17
32,198,225,Delibird,Water,Chilling Reign,0.02,0.1,0,2022/06/17
34,185,502,Dewott,Water,Vivid Voltage,0.04,0.17,0,2022/06/17
27,72,834,Drednaw,Water,Shining Fates,0.08,0.2,0,2022/06/17
42,198,817,Drizzile,Water,Chilling Reign,0.04,0.13,0,2022/06/17
36,198,478,Froslass,Water,Chilling Reign,0,0.24,0.22,2022/06/17
30,72,873,Frosmoth,Water,Shining Fates,0,0.31,0.22,2022/06/17
43,198,818,Inteleon,Water,Chilling Reign,0,2.85,2.93,2022/06/17
29,198,131,Lapras,Water,Chilling Reign,0.04,0.12,0,2022/06/17
24,72,490,Manaphy,Water,Shining Fates,0.09,0.21,0,2022/06/17
38,198,364,Sealeo,Water,Chilling Reign,0.09,0.14,0,2022/06/17
37,147,516,Simipour,Water,Burning Shadows,0.05,0.17,0,2022/06/17
35,198,361,Snorunt,Water,Chilling Reign,0.02,0.12,0,2022/06/17
41,198,816,Sobble,Water,Chilling Reign,0.19,0.48,0,2022/06/17
40,198,788,Tapu Fini,Water,Chilling Reign,0,0.33,0.25,2022/06/17
39,198,365,Walrein,Water,Chilling Reign,0.08,0.25,0,2022/06/17
71,111,36,Clefable,Fairy,Furious Fists,0.18,0.34,0,2022/06/17
92,149,742,Cutiefly,Fairy,Sun & Moon,0.07,0.18,0,2022/06/17
102,160,183,Marill,Fairy,Primal Clash,0.2,0.25,0,2022/06/17
52,98,280,Ralts,Fairy,Ancient Origins,0.1,0.27,0,2022/06/17
43,108,175,Togepi,Fairy,Roaring Skies,0.22,0.35,0,2022/06/17
108,147,626,Bouffalant,Colorless,Burning Shadows,0.08,0.2,0,2022/06/17
121,160,659,Bunnelby,Colorless,Primal Clash,0.27,0.72,0,2022/06/17
87,119,659,Bunnelby,Colorless,Phantom Forces,0.15,0.25,0,2022/06/17
87,111,659,Bunnelby,Colorless,Crimson Invasion,0.07,0.16,0,2022/06/17
121,198,351,Castform,Colorless,Chilling Reign,0.03,0.12,0,2022/06/17
139,185,441,Chatot,Colorless,Vivid Voltage,0.02,0.14,0,2022/06/17
86,111,573,Cinccino,Colorless,Crimson Invasion,0.09,0.28,0,2022/06/17
155,189,822,Corvisquire,Colorless,Darkness Ablaze,0.05,0.2,0,2022/06/17
88,111,660,Diggersby,Colorless,Crimson Invasion,0.1,0.16,0,2022/06/17
98,146,84,Doduo,Colorless,XY,0.13,0.32,0,2022/06/17
52,72,133,Eevee,Colorless,Shining Fates,0.06,0.28,0,2022/06/17
166,236,133,Eevee,Colorless,Cosmic Eclipse,0.25,0.47,0,2022/06/17
63,98,133,Eevee,Colorless,Ancient Origins,0.18,0.85,0,2022/06/17
130,185,133,Eevee,Colorless,Vivid Voltage,0.07,0.23,0,2022/06/17
126,198,676,Furfrou,Colorless,Chilling Reign,0.03,0.12,0,2022/06/17
106,147,163,Hoothoot,Colorless,Burning Shadows,0.08,0.26,0,2022/06/17
122,198,352,Kecleon,Colorless,Chilling Reign,0.11,0.17,0,2022/06/17
78,111,108,Lickitung,Colorless,Furious Fists,0.15,0.33,0,2022/06/17
174,236,506,Lillipup,Colorless,Cosmic Eclipse,0.1,0.29,0,2022/06/17
117,149,428,Lopunny,Colorless,Boundaries Crossed,0.45,1.37,0,2022/06/17
136,185,294,Loudred,Colorless,Vivid Voltage,0.05,0.16,0,2022/06/17
61,98,52,Meowth,Colorless,Ancient Origins,0.12,0.32,0,2022/06/17
164,214,731,Pikipek,Colorless,Lost Thunder,0.08,0.25,0,2022/06/17
71,108,137,Porygon,Colorless,Evolutions,0.1,0.36,0,2022/06/17
64,98,137,Porygon,Colorless,Ancient Origins,0.11,0.26,0,2022/06/17
116,198,137,Porygon,Colorless,Chilling Reign,0.02,0.09,0,2022/06/17
117,198,233,Porygon2,Colorless,Chilling Reign,0.03,0.15,0,2022/06/17
127,198,819,Skwovet,Colorless,Chilling Reign,0.02,0.1,0,2022/06/17
113,168,287,Slakoth,Colorless,Celestial Storm,0.14,0.3,0,2022/06/17
78,119,21,Spearow,Colorless,Phantom Forces,0.11,0.25,0,2022/06/17
105,124,333,Swablu,Colorless,Dragons Exalted,0.24,0.58,0,2022/06/17
48,73,333,Swablu,Colorless,Champion's Path,0.05,0.24,0,2022/06/17
134,185,277,Swellow,Colorless,Vivid Voltage,0.03,0.16,0,2022/06/17
133,185,276,Taillow,Colorless,Vivid Voltage,0.02,0.22,0,2022/06/17
144,185,732,Trumbeak,Colorless,Vivid Voltage,0.02,0.14,0,2022/06/17
85,100,263,Zigzagoon,Colorless,Sandstorm,0.33,2.14,0,2022/06/17
120,198,335,Zangoose,Colorless,Chilling Reign,0.1,0.13,0,2022/06/17
75,111,782,Jangmo-o,Dragon,Crimson Invasion,0.08,0.18,0,2022/06/17
160,236,782,Jangmo-o,Dragon,Cosmic Eclipse,0.12,0.26,0,2022/06/17
76,111,783,Hakamo-o,Dragon,Crimson Invasion,0.1,0.27,0,2022/06/17
49,198,181,Ampharos,Lightning,Chilling Reign,0.09,0.18,0,2022/06/17
53,185,522,Blitzle,Lightning,Vivid Voltage,0.02,0.17,0,2022/06/17
50,198,522,Blitzle,Lightning,Chilling Reign,0.02,0.1,0,2022/06/17
73,214,170,Chinchou,Lightning,Lost Thunder,0.09,0.19,0,2022/06/17
71,236,170,Chinchou,Lightning,Cosmic Eclipse,0.05,0.25,0,2022/06/17
57,162,702,Dedenne,Lightning,BREAKthrough,0.15,0.53,0,2022/06/17
51,168,309,Electrike,Lightning,Celestial Storm,0.08,0.25,0,2022/06/17
51,185,309,Electrike,Lightning,Vivid Voltage,0.02,0.18,0,2022/06/17
60,160,309,Electrike,Lightning,Primal Clash,0.26,0.37,0,2022/06/17
40,108,101,Electrode,Lightning,Evolutions,0.17,0.89,0,2022/06/17
58,185,603,Eelektrik,Lightning,Vivid Voltage,0.02,0.14,0,2022/06/17
46,147,604,Eelektross,Lightning,Burning Shadows,0.19,0.19,0,2022/06/17
59,185,604,Eelektross,Lightning,Vivid Voltage,0.13,0.17,0,2022/06/17
